sample_id,population,percentage,condition,treatment,sample_type,response
sample00009,b_cell,7.98,melanoma,miraclib,PBMC,no
sample00009,cd4_t_cell,22.02,melanoma,miraclib,PBMC,no
sample00009,cd8_t_cell,34.79,melanoma,miraclib,PBMC,no
sample00009,monocyte,16.36,melanoma,miraclib,PBMC,no
sample00009,nk_cell,18.85,melanoma,miraclib,PBMC,no
sample00010,b_cell,12.28,melanoma,miraclib,PBMC,no
sample00010,cd4_t_cell,25.92,melanoma,miraclib,PBMC,no
sample00010,cd8_t_cell,19.84,melanoma,miraclib,PBMC,no
sample00010,monocyte,29.68,melanoma,miraclib,PBMC,no
sample00010,nk_cell,12.28,melanoma,miraclib,PBMC,no
sample00011,b_cell,11.83,melanoma,miraclib,PBMC,no
sample00011,cd4_t_cell,32.72,melanoma,miraclib,PBMC,no
sample00011,cd8_t_cell,22.03,melanoma,miraclib,PBMC,no
sample00011,monocyte,18.37,melanoma,miraclib,PBMC,no
sample00011,nk_cell,15.05,melanoma,miraclib,PBMC,no
sample00024,b_cell,7.55,melanoma,miraclib,PBMC,yes
sample00024,cd4_t_cell,35.28,melanoma,miraclib,PBMC,yes
sample00024,cd8_t_cell,27.83,melanoma,miraclib,PBMC,yes
sample00024,monocyte,9.65,melanoma,miraclib,PBMC,yes
sample00024,nk_cell,19.69,melanoma,miraclib,PBMC,yes
sample00025,b_cell,12.26,melanoma,miraclib,PBMC,yes
sample00025,cd4_t_cell,31.74,melanoma,miraclib,PBMC,yes
sample00025,cd8_t_cell,22.41,melanoma,miraclib,PBMC,yes
sample00025,monocyte,12.34,melanoma,miraclib,PBMC,yes
sample00025,nk_cell,21.25,melanoma,miraclib,PBMC,yes
sample00026,b_cell,8.29,melanoma,miraclib,PBMC,yes
sample00026,cd4_t_cell,36.07,melanoma,miraclib,PBMC,yes
sample00026,cd8_t_cell,24.83,melanoma,miraclib,PBMC,yes
sample00026,monocyte,16.27,melanoma,miraclib,PBMC,yes
sample00026,nk_cell,14.54,melanoma,miraclib,PBMC,yes
sample00060,b_cell,10.66,melanoma,miraclib,PBMC,yes
sample00060,cd4_t_cell,37.49,melanoma,miraclib,PBMC,yes
sample00060,cd8_t_cell,20.68,melanoma,miraclib,PBMC,yes
sample00060,monocyte,17.11,melanoma,miraclib,PBMC,yes
sample00060,nk_cell,14.06,melanoma,miraclib,PBMC,yes
sample00061,b_cell,4.03,melanoma,miraclib,PBMC,yes
sample00061,cd4_t_cell,34.19,melanoma,miraclib,PBMC,yes
sample00061,cd8_t_cell,31.14,melanoma,miraclib,PBMC,yes
sample00061,monocyte,16.34,melanoma,miraclib,PBMC,yes
sample00061,nk_cell,14.3,melanoma,miraclib,PBMC,yes
sample00062,b_cell,10.56,melanoma,miraclib,PBMC,yes
sample00062,cd4_t_cell,22.62,melanoma,miraclib,PBMC,yes
sample00062,cd8_t_cell,21.1,melanoma,miraclib,PBMC,yes
sample00062,monocyte,27.35,melanoma,miraclib,PBMC,yes
sample00062,nk_cell,18.37,melanoma,miraclib,PBMC,yes
sample00066,b_cell,7.51,melanoma,miraclib,PBMC,yes
sample00066,cd4_t_cell,34.81,melanoma,miraclib,PBMC,yes
sample00066,cd8_t_cell,32.92,melanoma,miraclib,PBMC,yes
sample00066,monocyte,11.77,melanoma,miraclib,PBMC,yes
sample00066,nk_cell,12.98,melanoma,miraclib,PBMC,yes
sample00067,b_cell,11.04,melanoma,miraclib,PBMC,yes
sample00067,cd4_t_cell,27.38,melanoma,miraclib,PBMC,yes
sample00067,cd8_t_cell,22.41,melanoma,miraclib,PBMC,yes
sample00067,monocyte,19.27,melanoma,miraclib,PBMC,yes
sample00067,nk_cell,19.89,melanoma,miraclib,PBMC,yes
sample00068,b_cell,9.53,melanoma,miraclib,PBMC,yes
sample00068,cd4_t_cell,32.16,melanoma,miraclib,PBMC,yes
sample00068,cd8_t_cell,30.66,melanoma,miraclib,PBMC,yes
sample00068,monocyte,20.94,melanoma,miraclib,PBMC,yes
sample00068,nk_cell,6.71,melanoma,miraclib,PBMC,yes
sample00072,b_cell,9.33,melanoma,miraclib,PBMC,no
sample00072,cd4_t_cell,24.01,melanoma,miraclib,PBMC,no
sample00072,cd8_t_cell,28.31,melanoma,miraclib,PBMC,no
sample00072,monocyte,20.62,melanoma,miraclib,PBMC,no
sample00072,nk_cell,17.73,melanoma,miraclib,PBMC,no
sample00073,b_cell,9.94,melanoma,miraclib,PBMC,no
sample00073,cd4_t_cell,25.27,melanoma,miraclib,PBMC,no
sample00073,cd8_t_cell,27.59,melanoma,miraclib,PBMC,no
sample00073,monocyte,18.65,melanoma,miraclib,PBMC,no
sample00073,nk_cell,18.54,melanoma,miraclib,PBMC,no
sample00074,b_cell,14.27,melanoma,miraclib,PBMC,no
sample00074,cd4_t_cell,36.54,melanoma,miraclib,PBMC,no
sample00074,cd8_t_cell,20.18,melanoma,miraclib,PBMC,no
sample00074,monocyte,12.14,melanoma,miraclib,PBMC,no
sample00074,nk_cell,16.87,melanoma,miraclib,PBMC,no
sample00075,b_cell,13.83,melanoma,miraclib,PBMC,yes
sample00075,cd4_t_cell,31.66,melanoma,miraclib,PBMC,yes
sample00075,cd8_t_cell,25.27,melanoma,miraclib,PBMC,yes
sample00075,monocyte,14.94,melanoma,miraclib,PBMC,yes
sample00075,nk_cell,14.31,melanoma,miraclib,PBMC,yes
sample00076,b_cell,11.25,melanoma,miraclib,PBMC,yes
sample00076,cd4_t_cell,33.92,melanoma,miraclib,PBMC,yes
sample00076,cd8_t_cell,21.58,melanoma,miraclib,PBMC,yes
sample00076,monocyte,18.99,melanoma,miraclib,PBMC,yes
sample00076,nk_cell,14.26,melanoma,miraclib,PBMC,yes
sample00077,b_cell,9.11,melanoma,miraclib,PBMC,yes
sample00077,cd4_t_cell,40.34,melanoma,miraclib,PBMC,yes
sample00077,cd8_t_cell,17.78,melanoma,miraclib,PBMC,yes
sample00077,monocyte,17.03,melanoma,miraclib,PBMC,yes
sample00077,nk_cell,15.75,melanoma,miraclib,PBMC,yes
sample00081,b_cell,10.29,melanoma,miraclib,PBMC,no
sample00081,cd4_t_cell,33.49,melanoma,miraclib,PBMC,no
sample00081,cd8_t_cell,20.3,melanoma,miraclib,PBMC,no
sample00081,monocyte,20.29,melanoma,miraclib,PBMC,no
sample00081,nk_cell,15.63,melanoma,miraclib,PBMC,no
sample00082,b_cell,5.87,melanoma,miraclib,PBMC,no
sample00082,cd4_t_cell,29.55,melanoma,miraclib,PBMC,no
sample00082,cd8_t_cell,30.17,melanoma,miraclib,PBMC,no
sample00082,monocyte,17.1,melanoma,miraclib,PBMC,no
sample00082,nk_cell,17.31,melanoma,miraclib,PBMC,no
sample00083,b_cell,8.28,melanoma,miraclib,PBMC,no
sample00083,cd4_t_cell,26.93,melanoma,miraclib,PBMC,no
sample00083,cd8_t_cell,26.3,melanoma,miraclib,PBMC,no
sample00083,monocyte,19.86,melanoma,miraclib,PBMC,no
sample00083,nk_cell,18.63,melanoma,miraclib,PBMC,no
sample00123,b_cell,8.47,melanoma,miraclib,PBMC,no
sample00123,cd4_t_cell,29.48,melanoma,miraclib,PBMC,no
sample00123,cd8_t_cell,26.26,melanoma,miraclib,PBMC,no
sample00123,monocyte,18.88,melanoma,miraclib,PBMC,no
sample00123,nk_cell,16.92,melanoma,miraclib,PBMC,no
sample00124,b_cell,7.93,melanoma,miraclib,PBMC,no
sample00124,cd4_t_cell,31.12,melanoma,miraclib,PBMC,no
sample00124,cd8_t_cell,25.93,melanoma,miraclib,PBMC,no
sample00124,monocyte,21.48,melanoma,miraclib,PBMC,no
sample00124,nk_cell,13.54,melanoma,miraclib,PBMC,no
sample00125,b_cell,16.68,melanoma,miraclib,PBMC,no
sample00125,cd4_t_cell,25.01,melanoma,miraclib,PBMC,no
sample00125,cd8_t_cell,31.86,melanoma,miraclib,PBMC,no
sample00125,monocyte,14.1,melanoma,miraclib,PBMC,no
sample00125,nk_cell,12.36,melanoma,miraclib,PBMC,no
sample00141,b_cell,4.72,melanoma,miraclib,PBMC,yes
sample00141,cd4_t_cell,34.39,melanoma,miraclib,PBMC,yes
sample00141,cd8_t_cell,27.62,melanoma,miraclib,PBMC,yes
sample00141,monocyte,20.56,melanoma,miraclib,PBMC,yes
sample00141,nk_cell,12.7,melanoma,miraclib,PBMC,yes
sample00142,b_cell,10.48,melanoma,miraclib,PBMC,yes
sample00142,cd4_t_cell,32.66,melanoma,miraclib,PBMC,yes
sample00142,cd8_t_cell,27.14,melanoma,miraclib,PBMC,yes
sample00142,monocyte,17.48,melanoma,miraclib,PBMC,yes
sample00142,nk_cell,12.25,melanoma,miraclib,PBMC,yes
sample00143,b_cell,8.36,melanoma,miraclib,PBMC,yes
sample00143,cd4_t_cell,26.13,melanoma,miraclib,PBMC,yes
sample00143,cd8_t_cell,34.04,melanoma,miraclib,PBMC,yes
sample00143,monocyte,11.12,melanoma,miraclib,PBMC,yes
sample00143,nk_cell,20.35,melanoma,miraclib,PBMC,yes
sample00153,b_cell,12.11,melanoma,miraclib,PBMC,no
sample00153,cd4_t_cell,28.46,melanoma,miraclib,PBMC,no
sample00153,cd8_t_cell,26.08,melanoma,miraclib,PBMC,no
sample00153,monocyte,15.98,melanoma,miraclib,PBMC,no
sample00153,nk_cell,17.37,melanoma,miraclib,PBMC,no
sample00154,b_cell,4.94,melanoma,miraclib,PBMC,no
sample00154,cd4_t_cell,29.52,melanoma,miraclib,PBMC,no
sample00154,cd8_t_cell,29.92,melanoma,miraclib,PBMC,no
sample00154,monocyte,15.01,melanoma,miraclib,PBMC,no
sample00154,nk_cell,20.62,melanoma,miraclib,PBMC,no
sample00155,b_cell,9.25,melanoma,miraclib,PBMC,no
sample00155,cd4_t_cell,30.01,melanoma,miraclib,PBMC,no
sample00155,cd8_t_cell,31.67,melanoma,miraclib,PBMC,no
sample00155,monocyte,13.82,melanoma,miraclib,PBMC,no
sample00155,nk_cell,15.25,melanoma,miraclib,PBMC,no
sample00165,b_cell,10.59,melanoma,miraclib,PBMC,yes
sample00165,cd4_t_cell,31.5,melanoma,miraclib,PBMC,yes
sample00165,cd8_t_cell,17.26,melanoma,miraclib,PBMC,yes
sample00165,monocyte,19.25,melanoma,miraclib,PBMC,yes
sample00165,nk_cell,21.4,melanoma,miraclib,PBMC,yes
sample00166,b_cell,8.23,melanoma,miraclib,PBMC,yes
sample00166,cd4_t_cell,29.7,melanoma,miraclib,PBMC,yes
sample00166,cd8_t_cell,19.18,melanoma,miraclib,PBMC,yes
sample00166,monocyte,23.43,melanoma,miraclib,PBMC,yes
sample00166,nk_cell,19.46,melanoma,miraclib,PBMC,yes
sample00167,b_cell,8.8,melanoma,miraclib,PBMC,yes
sample00167,cd4_t_cell,24.59,melanoma,miraclib,PBMC,yes
sample00167,cd8_t_cell,37.02,melanoma,miraclib,PBMC,yes
sample00167,monocyte,17.7,melanoma,miraclib,PBMC,yes
sample00167,nk_cell,11.9,melanoma,miraclib,PBMC,yes
sample00168,b_cell,7.99,melanoma,miraclib,PBMC,yes
sample00168,cd4_t_cell,29.65,melanoma,miraclib,PBMC,yes
sample00168,cd8_t_cell,32.17,melanoma,miraclib,PBMC,yes
sample00168,monocyte,11.98,melanoma,miraclib,PBMC,yes
sample00168,nk_cell,18.2,melanoma,miraclib,PBMC,yes
sample00169,b_cell,8.64,melanoma,miraclib,PBMC,yes
sample00169,cd4_t_cell,35.42,melanoma,miraclib,PBMC,yes
sample00169,cd8_t_cell,24.74,melanoma,miraclib,PBMC,yes
sample00169,monocyte,15.55,melanoma,miraclib,PBMC,yes
sample00169,nk_cell,15.65,melanoma,miraclib,PBMC,yes
sample00170,b_cell,8.11,melanoma,miraclib,PBMC,yes
sample00170,cd4_t_cell,27.06,melanoma,miraclib,PBMC,yes
sample00170,cd8_t_cell,25.56,melanoma,miraclib,PBMC,yes
sample00170,monocyte,24.88,melanoma,miraclib,PBMC,yes
sample00170,nk_cell,14.4,melanoma,miraclib,PBMC,yes
sample00174,b_cell,7.57,melanoma,miraclib,PBMC,no
sample00174,cd4_t_cell,33.7,melanoma,miraclib,PBMC,no
sample00174,cd8_t_cell,22.63,melanoma,miraclib,PBMC,no
sample00174,monocyte,14.83,melanoma,miraclib,PBMC,no
sample00174,nk_cell,21.27,melanoma,miraclib,PBMC,no
sample00175,b_cell,10.6,melanoma,miraclib,PBMC,no
sample00175,cd4_t_cell,34.04,melanoma,miraclib,PBMC,no
sample00175,cd8_t_cell,21.36,melanoma,miraclib,PBMC,no
sample00175,monocyte,21.33,melanoma,miraclib,PBMC,no
sample00175,nk_cell,12.67,melanoma,miraclib,PBMC,no
sample00176,b_cell,7.58,melanoma,miraclib,PBMC,no
sample00176,cd4_t_cell,32.65,melanoma,miraclib,PBMC,no
sample00176,cd8_t_cell,19.02,melanoma,miraclib,PBMC,no
sample00176,monocyte,27.33,melanoma,miraclib,PBMC,no
sample00176,nk_cell,13.41,melanoma,miraclib,PBMC,no
sample00186,b_cell,12.48,melanoma,miraclib,PBMC,no
sample00186,cd4_t_cell,21.18,melanoma,miraclib,PBMC,no
sample00186,cd8_t_cell,32.26,melanoma,miraclib,PBMC,no
sample00186,monocyte,19.16,melanoma,miraclib,PBMC,no
sample00186,nk_cell,14.92,melanoma,miraclib,PBMC,no
sample00187,b_cell,13.76,melanoma,miraclib,PBMC,no
sample00187,cd4_t_cell,26.73,melanoma,miraclib,PBMC,no
sample00187,cd8_t_cell,23.5,melanoma,miraclib,PBMC,no
sample00187,monocyte,22.67,melanoma,miraclib,PBMC,no
sample00187,nk_cell,13.34,melanoma,miraclib,PBMC,no
sample00188,b_cell,10.69,melanoma,miraclib,PBMC,no
sample00188,cd4_t_cell,32.64,melanoma,miraclib,PBMC,no
sample00188,cd8_t_cell,22.41,melanoma,miraclib,PBMC,no
sample00188,monocyte,20.48,melanoma,miraclib,PBMC,no
sample00188,nk_cell,13.79,melanoma,miraclib,PBMC,no
sample00189,b_cell,7.73,melanoma,miraclib,PBMC,no
sample00189,cd4_t_cell,34.81,melanoma,miraclib,PBMC,no
sample00189,cd8_t_cell,27.74,melanoma,miraclib,PBMC,no
sample00189,monocyte,19.48,melanoma,miraclib,PBMC,no
sample00189,nk_cell,10.25,melanoma,miraclib,PBMC,no
sample00190,b_cell,5.42,melanoma,miraclib,PBMC,no
sample00190,cd4_t_cell,27.99,melanoma,miraclib,PBMC,no
sample00190,cd8_t_cell,28.34,melanoma,miraclib,PBMC,no
sample00190,monocyte,25.31,melanoma,miraclib,PBMC,no
sample00190,nk_cell,12.94,melanoma,miraclib,PBMC,no
sample00191,b_cell,10.91,melanoma,miraclib,PBMC,no
sample00191,cd4_t_cell,26.41,melanoma,miraclib,PBMC,no
sample00191,cd8_t_cell,31.19,melanoma,miraclib,PBMC,no
sample00191,monocyte,18.95,melanoma,miraclib,PBMC,no
sample00191,nk_cell,12.55,melanoma,miraclib,PBMC,no
sample00213,b_cell,11.74,melanoma,miraclib,PBMC,no
sample00213,cd4_t_cell,33.97,melanoma,miraclib,PBMC,no
sample00213,cd8_t_cell,23.71,melanoma,miraclib,PBMC,no
sample00213,monocyte,15.22,melanoma,miraclib,PBMC,no
sample00213,nk_cell,15.35,melanoma,miraclib,PBMC,no
sample00214,b_cell,13.33,melanoma,miraclib,PBMC,no
sample00214,cd4_t_cell,23.09,melanoma,miraclib,PBMC,no
sample00214,cd8_t_cell,25.96,melanoma,miraclib,PBMC,no
sample00214,monocyte,24.46,melanoma,miraclib,PBMC,no
sample00214,nk_cell,13.17,melanoma,miraclib,PBMC,no
sample00215,b_cell,8.97,melanoma,miraclib,PBMC,no
sample00215,cd4_t_cell,31.77,melanoma,miraclib,PBMC,no
sample00215,cd8_t_cell,26.64,melanoma,miraclib,PBMC,no
sample00215,monocyte,21.23,melanoma,miraclib,PBMC,no
sample00215,nk_cell,11.39,melanoma,miraclib,PBMC,no
sample00243,b_cell,5.06,melanoma,miraclib,PBMC,no
sample00243,cd4_t_cell,32.83,melanoma,miraclib,PBMC,no
sample00243,cd8_t_cell,23.3,melanoma,miraclib,PBMC,no
sample00243,monocyte,21.25,melanoma,miraclib,PBMC,no
sample00243,nk_cell,17.56,melanoma,miraclib,PBMC,no
sample00244,b_cell,3.59,melanoma,miraclib,PBMC,no
sample00244,cd4_t_cell,36.55,melanoma,miraclib,PBMC,no
sample00244,cd8_t_cell,26.02,melanoma,miraclib,PBMC,no
sample00244,monocyte,17.52,melanoma,miraclib,PBMC,no
sample00244,nk_cell,16.31,melanoma,miraclib,PBMC,no
sample00245,b_cell,12.9,melanoma,miraclib,PBMC,no
sample00245,cd4_t_cell,33.56,melanoma,miraclib,PBMC,no
sample00245,cd8_t_cell,20.39,melanoma,miraclib,PBMC,no
sample00245,monocyte,24.21,melanoma,miraclib,PBMC,no
sample00245,nk_cell,8.94,melanoma,miraclib,PBMC,no
sample00249,b_cell,14.1,melanoma,miraclib,PBMC,no
sample00249,cd4_t_cell,24.16,melanoma,miraclib,PBMC,no
sample00249,cd8_t_cell,26.43,melanoma,miraclib,PBMC,no
sample00249,monocyte,19.64,melanoma,miraclib,PBMC,no
sample00249,nk_cell,15.67,melanoma,miraclib,PBMC,no
sample00250,b_cell,10.29,melanoma,miraclib,PBMC,no
sample00250,cd4_t_cell,23.75,melanoma,miraclib,PBMC,no
sample00250,cd8_t_cell,24.47,melanoma,miraclib,PBMC,no
sample00250,monocyte,22.81,melanoma,miraclib,PBMC,no
sample00250,nk_cell,18.68,melanoma,miraclib,PBMC,no
sample00251,b_cell,8.89,melanoma,miraclib,PBMC,no
sample00251,cd4_t_cell,30.25,melanoma,miraclib,PBMC,no
sample00251,cd8_t_cell,21.78,melanoma,miraclib,PBMC,no
sample00251,monocyte,25.1,melanoma,miraclib,PBMC,no
sample00251,nk_cell,13.97,melanoma,miraclib,PBMC,no
sample00261,b_cell,8.6,melanoma,miraclib,PBMC,yes
sample00261,cd4_t_cell,24.67,melanoma,miraclib,PBMC,yes
sample00261,cd8_t_cell,33.47,melanoma,miraclib,PBMC,yes
sample00261,monocyte,20.28,melanoma,miraclib,PBMC,yes
sample00261,nk_cell,12.99,melanoma,miraclib,PBMC,yes
sample00262,b_cell,8.75,melanoma,miraclib,PBMC,yes
sample00262,cd4_t_cell,35.82,melanoma,miraclib,PBMC,yes
sample00262,cd8_t_cell,26.87,melanoma,miraclib,PBMC,yes
sample00262,monocyte,15.13,melanoma,miraclib,PBMC,yes
sample00262,nk_cell,13.43,melanoma,miraclib,PBMC,yes
sample00263,b_cell,10.39,melanoma,miraclib,PBMC,yes
sample00263,cd4_t_cell,32.26,melanoma,miraclib,PBMC,yes
sample00263,cd8_t_cell,25.08,melanoma,miraclib,PBMC,yes
sample00263,monocyte,11.32,melanoma,miraclib,PBMC,yes
sample00263,nk_cell,20.95,melanoma,miraclib,PBMC,yes
sample00285,b_cell,15.57,melanoma,miraclib,PBMC,no
sample00285,cd4_t_cell,35.55,melanoma,miraclib,PBMC,no
sample00285,cd8_t_cell,20.22,melanoma,miraclib,PBMC,no
sample00285,monocyte,17.04,melanoma,miraclib,PBMC,no
sample00285,nk_cell,11.62,melanoma,miraclib,PBMC,no
sample00286,b_cell,8.32,melanoma,miraclib,PBMC,no
sample00286,cd4_t_cell,29.31,melanoma,miraclib,PBMC,no
sample00286,cd8_t_cell,21.83,melanoma,miraclib,PBMC,no
sample00286,monocyte,24.87,melanoma,miraclib,PBMC,no
sample00286,nk_cell,15.67,melanoma,miraclib,PBMC,no
sample00287,b_cell,9.29,melanoma,miraclib,PBMC,no
sample00287,cd4_t_cell,23.39,melanoma,miraclib,PBMC,no
sample00287,cd8_t_cell,34.06,melanoma,miraclib,PBMC,no
sample00287,monocyte,17.62,melanoma,miraclib,PBMC,no
sample00287,nk_cell,15.64,melanoma,miraclib,PBMC,no
sample00324,b_cell,5.42,melanoma,miraclib,PBMC,yes
sample00324,cd4_t_cell,19.54,melanoma,miraclib,PBMC,yes
sample00324,cd8_t_cell,23.67,melanoma,miraclib,PBMC,yes
sample00324,monocyte,28.04,melanoma,miraclib,PBMC,yes
sample00324,nk_cell,23.33,melanoma,miraclib,PBMC,yes
sample00325,b_cell,9.2,melanoma,miraclib,PBMC,yes
sample00325,cd4_t_cell,25.45,melanoma,miraclib,PBMC,yes
sample00325,cd8_t_cell,25.04,melanoma,miraclib,PBMC,yes
sample00325,monocyte,22.57,melanoma,miraclib,PBMC,yes
sample00325,nk_cell,17.75,melanoma,miraclib,PBMC,yes
sample00326,b_cell,12.39,melanoma,miraclib,PBMC,yes
sample00326,cd4_t_cell,37.43,melanoma,miraclib,PBMC,yes
sample00326,cd8_t_cell,14.61,melanoma,miraclib,PBMC,yes
sample00326,monocyte,23.84,melanoma,miraclib,PBMC,yes
sample00326,nk_cell,11.73,melanoma,miraclib,PBMC,yes
sample00327,b_cell,12.26,melanoma,miraclib,PBMC,yes
sample00327,cd4_t_cell,30.58,melanoma,miraclib,PBMC,yes
sample00327,cd8_t_cell,22.48,melanoma,miraclib,PBMC,yes
sample00327,monocyte,18.74,melanoma,miraclib,PBMC,yes
sample00327,nk_cell,15.94,melanoma,miraclib,PBMC,yes
sample00328,b_cell,12.04,melanoma,miraclib,PBMC,yes
sample00328,cd4_t_cell,26.3,melanoma,miraclib,PBMC,yes
sample00328,cd8_t_cell,25.87,melanoma,miraclib,PBMC,yes
sample00328,monocyte,19.07,melanoma,miraclib,PBMC,yes
sample00328,nk_cell,16.73,melanoma,miraclib,PBMC,yes
sample00329,b_cell,9.7,melanoma,miraclib,PBMC,yes
sample00329,cd4_t_cell,32.6,melanoma,miraclib,PBMC,yes
sample00329,cd8_t_cell,21.45,melanoma,miraclib,PBMC,yes
sample00329,monocyte,18.09,melanoma,miraclib,PBMC,yes
sample00329,nk_cell,18.16,melanoma,miraclib,PBMC,yes
sample00333,b_cell,12.62,melanoma,miraclib,PBMC,yes
sample00333,cd4_t_cell,34.52,melanoma,miraclib,PBMC,yes
sample00333,cd8_t_cell,21.71,melanoma,miraclib,PBMC,yes
sample00333,monocyte,25.39,melanoma,miraclib,PBMC,yes
sample00333,nk_cell,5.77,melanoma,miraclib,PBMC,yes
sample00334,b_cell,13.7,melanoma,miraclib,PBMC,yes
sample00334,cd4_t_cell,31.94,melanoma,miraclib,PBMC,yes
sample00334,cd8_t_cell,15.94,melanoma,miraclib,PBMC,yes
sample00334,monocyte,25.4,melanoma,miraclib,PBMC,yes
sample00334,nk_cell,13.01,melanoma,miraclib,PBMC,yes
sample00335,b_cell,9.39,melanoma,miraclib,PBMC,yes
sample00335,cd4_t_cell,32.54,melanoma,miraclib,PBMC,yes
sample00335,cd8_t_cell,18.9,melanoma,miraclib,PBMC,yes
sample00335,monocyte,26.35,melanoma,miraclib,PBMC,yes
sample00335,nk_cell,12.83,melanoma,miraclib,PBMC,yes
sample00369,b_cell,9.7,melanoma,miraclib,PBMC,yes
sample00369,cd4_t_cell,26.66,melanoma,miraclib,PBMC,yes
sample00369,cd8_t_cell,34.62,melanoma,miraclib,PBMC,yes
sample00369,monocyte,18.81,melanoma,miraclib,PBMC,yes
sample00369,nk_cell,10.2,melanoma,miraclib,PBMC,yes
sample00370,b_cell,13.45,melanoma,miraclib,PBMC,yes
sample00370,cd4_t_cell,24.35,melanoma,miraclib,PBMC,yes
sample00370,cd8_t_cell,24.12,melanoma,miraclib,PBMC,yes
sample00370,monocyte,23.94,melanoma,miraclib,PBMC,yes
sample00370,nk_cell,14.15,melanoma,miraclib,PBMC,yes
sample00371,b_cell,3.98,melanoma,miraclib,PBMC,yes
sample00371,cd4_t_cell,31.8,melanoma,miraclib,PBMC,yes
sample00371,cd8_t_cell,22.26,melanoma,miraclib,PBMC,yes
sample00371,monocyte,25.2,melanoma,miraclib,PBMC,yes
sample00371,nk_cell,16.75,melanoma,miraclib,PBMC,yes
sample00378,b_cell,12.88,melanoma,miraclib,PBMC,yes
sample00378,cd4_t_cell,29.35,melanoma,miraclib,PBMC,yes
sample00378,cd8_t_cell,23.66,melanoma,miraclib,PBMC,yes
sample00378,monocyte,16.13,melanoma,miraclib,PBMC,yes
sample00378,nk_cell,17.97,melanoma,miraclib,PBMC,yes
sample00379,b_cell,16.26,melanoma,miraclib,PBMC,yes
sample00379,cd4_t_cell,22.99,melanoma,miraclib,PBMC,yes
sample00379,cd8_t_cell,30.17,melanoma,miraclib,PBMC,yes
sample00379,monocyte,18.48,melanoma,miraclib,PBMC,yes
sample00379,nk_cell,12.1,melanoma,miraclib,PBMC,yes
sample00380,b_cell,5.99,melanoma,miraclib,PBMC,yes
sample00380,cd4_t_cell,36.05,melanoma,miraclib,PBMC,yes
sample00380,cd8_t_cell,29.04,melanoma,miraclib,PBMC,yes
sample00380,monocyte,13.75,melanoma,miraclib,PBMC,yes
sample00380,nk_cell,15.17,melanoma,miraclib,PBMC,yes
sample00402,b_cell,5.96,melanoma,miraclib,PBMC,no
sample00402,cd4_t_cell,30.23,melanoma,miraclib,PBMC,no
sample00402,cd8_t_cell,26.49,melanoma,miraclib,PBMC,no
sample00402,monocyte,27.25,melanoma,miraclib,PBMC,no
sample00402,nk_cell,10.06,melanoma,miraclib,PBMC,no
sample00403,b_cell,8.88,melanoma,miraclib,PBMC,no
sample00403,cd4_t_cell,33.18,melanoma,miraclib,PBMC,no
sample00403,cd8_t_cell,22.42,melanoma,miraclib,PBMC,no
sample00403,monocyte,24.75,melanoma,miraclib,PBMC,no
sample00403,nk_cell,10.77,melanoma,miraclib,PBMC,no
sample00404,b_cell,9.14,melanoma,miraclib,PBMC,no
sample00404,cd4_t_cell,28.72,melanoma,miraclib,PBMC,no
sample00404,cd8_t_cell,17.91,melanoma,miraclib,PBMC,no
sample00404,monocyte,18.44,melanoma,miraclib,PBMC,no
